Primary particle id=4503599644147712 (contributing hits=12)
  Pt = 10.117 , eta = 3.433
Total unique layers entered: 7

Per-volume summary:
  volume 9:, Pixel Endcap, unique layers hit=7

Per-measurement table (measurements only, outer -> inner):
idx  orig_idx  vol   lay    mod      r_mm      x_mm      y_mm      z_mm  
-----------------------------------------------------------------
   0       11     9    14      27      97.1      53.8      80.8    1502.0
   1       10     9    12      27      84.2      46.7      70.0    1302.0
   2        9     9    10      27      71.2      39.5      59.3    1102.0
   3        8     9    10      26      71.0      39.4      59.0    1098.0
   4        7     9     8      27      62.2      34.5      51.7     962.0
   5        6     9     8      26      61.9      34.4      51.5     958.0
   6        5     9     6      27      53.1      29.5      44.2     822.0
   7        4     9     6      26      52.9      29.4      44.0     818.0
   8        3     9     4      27      45.4      25.2      37.7     702.0
   9        2     9     4      26      45.1      25.1      37.5     698.0
  10        1     9     2      27      38.9      21.6      32.3     602.0
  11        0     9     2      26      38.7      21.5      32.1     598.0
